id,year,Titel,novel,num_phrases
22552950,1890,Über die Einwirkung von O-Nitranilin und m-Nitroparatoluidin auf Chinone.,1,4
22552951,1890,Beiträge zur Anatomie und Physiologie des Schlundkopfes vom Schweine.,1,5
22552953,1890,Beiträge zur Kenntnis reiner Honigsorten,1,3
22552954,1890,Beiträge zur Kenntnis der chemischen Bestandteile von Quassia amara L. und Picraena excelsa Linds,1,6
22552955,1890,Über die Bestimmung der spezifischen Leitungsfähigkeit von Metallen in Cylinderform nach der Dämpfungsmethode,1,5
22552956,1890,"Beitrag zur Kenntnis einiger Derivate des (1, 2, 3-) Orthoxylidins",1,3
22552959,1890,Über die Schleimendosperme der Leguminosen.,1,2
22552961,1890,Beiträge zur chemischen Kenntnis der Familie der Ericaceen speziell der Preisselbeere (Vaccinium vitis idaea),1,6
22552965,1890,Über das specifische Gewicht des Milchserums und seine Bedeutung für die Beurteilung der Milchverfälschung,1,5
22552966,1890,Über Phenyltolylamin und Paraoxydiphenylamin,1,2
22552969,1890,"Johann Elias Schlegel als Trauerspieldichter, mit besonderer Berücksichtigung seines Verhältnises zu Gottsched",1,5
22552972,1890,Louis Philipps Einfluss auf die äußere Politik Frankreichs,1,3
22552973,1890,Das System Bazard's. Eine staatswissenschaftliche Studie,1,2
22552975,1890,Ein Beitrag zur Kenntnis der Terpene,1,3
22552977,1890,Über Alkyl-Hydrastine. Ein Beitrag zur Kenntnis des Hydrastins,1,4
22552978,1890,Über das Damascenin einen Bestandteil der Samen von Nigella Damascena L,1,4
22552980,1890,"Über die Bestimmung des Weinsteins, der freien Weinsäure und der Aepfelsäure im Weine, nebst kritischen Studien über die anorganischen Salze des Weines.",1,7
22552984,1890,Geschichte der Gegenreformation in den pfalzsulzbachischen und hilpoltsteinischen Landen. Erster Teil,1,4
22552985,1890,Die Präpositionen bei M. Aurelius Antonin,1,3
22552989,1890,Über die symbolische Darstellung der Grundsyzyganten einer binären Form sechster Ordnung und eine Erweiterung der Symbolik von Clebsch.,1,7
22552990,1890,Beiträge zur Kenntnis der Alcaloide von Berberis aquifolium Nutt,1,5
22552991,1890,Über die Einwirkung von Hydrazinhydrat auf Ketokörper,1,3
22552993,1890,Das soziale Prinzip der Pädagogik. Eine kritische Untersuchung,1,3
22552994,1890,Kritische Studien über die Bestimmung des Coffeïns im Thee,1,4
22552995,1890,Über das Verhältnis der späteren Stoa zur Sklaverei im römischen Reiche,1,4
22552996,1890,"Über die braunwandigen, sklerotischen Gewebeelemente der Farne, mit besonderer Berücksichtigung der sogenannter „Stützbündel“ Russow's",1,4
22552997,1890,Über eine algebraische Theorie der Schaaren nichtadjungirter Berührungscurven welche zu einer algebraischen Curve gehören,1,4
22552998,1890,Ein Beitrag zur Kenntnis des Terpinens und Phellandrens,1,4
22552999,1890,Untersuchungen über d. Mannon-Säure,1,2
22553001,1890,Beiträge zur Synthese von Indenderivaten,1,3
22553004,1890,Remuneratorische Schenkungen. Nach gemeinem bürgerlichen Recht,1,2
22553042,1890,Zur Kenntnis der substituirten Benzonitrile und deren Darstellung aus den entsprechenden Anilinen,1,4
22553047,1890,Beiträge zur Kenntnis der m-Xyloldisulfonsäure und der isomeren Monoamidoderivate der unsymmetriscben [sic! ] m-Xylolsulfonsäure.,1,4
22553051,1890,Beiträge zur Kenntnis der Substitution am Benzolkern,1,4
22553052,1890,Beiträge zur Kenntnis des o-p-Dinitrophenyl-Phenylhydrazins und einiger Derivate desselben,1,5
22553058,1890,Zur Kenntnis der Nitroderivate der Paratoluylsäure,1,3
22553067,1890,Beiträge zur Kenntnis der Brom- und Chlor-Derivate des β-Naphtylamins,1,4
22553072,1890,Beiträge zur Kenntnis des Acetonchloroforms und einiger seiner Derivate,1,4
22553073,1890,Ein Beitrag zur Kenntnis der secundären Markstrahlen.,1,3
22553074,1890,Über α-Dinitrophenyl und Pikryl-α- und β-Naphtylhydrazine und einige Derivate derselben,1,4
22553076,1890,Über Reactionen und Derivate der Nitrotoluole,1,3
22553077,1890,"Die Auflösung von Urteilssystemen, das Eliminationsproblem und die Kriterien des Widerspruchs in der Algebra der Logik",1,7
22553098,1890,Beitrag zur Kenntnis des feineren Baues der Fruchtschale der Kompositen,1,5
22553100,1890,Über die Einwirkung von Schwefel auf Glycerin.,1,3
22553101,1890,Über eine Reproduction der Siemens'schen Quecksilber-Einheit.,1,2
22553104,1890,Die forstliche Bedeutung der Vögel,1,2
22553105,1890,Untersuchung der Fläche dritter Ordnung hinsichtlich der projectiv verallgemeinerten Mittelpunkts-Eigenschaften,1,4
22553106,1890,"Über eine transcendente Minimalfläche, welche eine Schar algebraischer Raumcurven vierten Grades enthält",1,5
22553107,1890,Über verschiedene Darstellungen des korrespondierenden Kegelschnitts einer Geraden in Bezug auf ein Kegelschnittbüschel.,1,5
22553108,1890,Über eine Anwendung des Wasserdampfcalorimeters zur Bestimmung von Verdampfungswärmen,1,4
22553111,1890,Die Wirksamkeit der verjährten Forderungsrechte,1,2
22553115,1890,Der Rücktritt des Mitthäters,1,2
22553116,1890,Die Haftung des Nicht-Benefizialerben für Vermächtnisse nach gemeinem Recht.,1,4
22553117,1890,Prozeß-Vollmacht und Legitimation zum Abschluß eines Vergleichs nach der deutschen Civilprozeßordnung unter besonderer Berücksichtigung der preußischen Vormundschaftsordnung,1,7
22553118,1890,Der solutionis causa adjectus im heutigen Recht.,1,2
22553119,1890,Die Rückgabe der verkauften Sache gemäss der actio redhibitoria nach gemeinem Civilrecht,1,5
22553121,1890,Über die Entstehung und den Begriff des landesherrlichen Kirchenregiments,1,3
22553122,1890,Über das Rechtsverhältniss der in eine Erwerbsgesellschaft gemachten Einlagen nach römischem Rechte,1,3
22553123,1890,Zur Lehre von den Rechten des Hypothekengläubigers an dem Wirthschaftsinventar,1,4
22553124,1890,"Erklärung des Satzes: res succedit in locum pretii, pretium in locum rei",1,6
22553125,1890,Über die cautio Muciana,1,1
22553127,1890,Die Folgen des Contractbruchs des locator operarum nach römischem Recht,1,4
22553155,1890,"Untersuchungen über Holzgummi, Xylose und Xylonsäure",1,4
22553159,1890,Über das sogenannte Fucusol,1,1
22553162,1890,Beiträge zur Trennung des Quecksilbers von den Metallen der sogenannter Arsen- u. Kupfer-Gruppe,1,5
22553168,1890,Über den Einfluss des Futters und der Lactation auf die Beschaffenheit des Butterfettes.,1,5
22553181,1890,Die Verhandlungen Kaiser Ferdinand I. mit Papst Pius IV. über die fakultative Einführung des Laienkelches in einzelnen Teilen des deutschen Reiches,1,7
22553188,1890,Über den Thiacetessigester,1,1
22553273,1890,Die Endung der zweiten Person Pluralis des altfranzösischen Verbums,1,3
22553274,1890,Über einige Eruptivgesteine aus Transvaal in Süd-Afrika,1,3
22553276,1890,Syntaktische Studien zu Rabelais. (Die Congruenz des Participii Präteriti und der Gebrauch der Hülfsverba.),1,6
22553278,1890,Über Azobenzolsalicylsäure und einige Derivate derselben.,1,2
22553280,1890,Die Katastrophe Ludovico Moros in Novara im April 1500. Eine quellenkritische Untersuchung.,1,4
22553282,1890,Über das Verhalten des Anilins zur salzsauren Amidosalicylsäure,1,3
22553284,1890,Stellung des attributiven Adjektivs in altfranzösischen Prosatexten von Anfang des XIII. bis Anfang des XV. Jahrhunderts. Teil I.,1,7
22553286,1890,Strafbare Handlungen an Gräbern und Leichen,1,3
22553287,1890,Die Actio funeraria,1,1
22553288,1890,Die Cautio usufructuaria,1,1
22553289,1890,Die rechtliche Stellung des Nebenintervenient-Streitgenossen nach den Bestimmungen der deutschen Civilprocessordnung,1,4
22553291,1890,"Erörterungen über den Satz: Quod initio vitiosum est, non potest tractu temporis convalescere.",1,5
22553293,1890,"Die stille Gesellschaft, die Participations- und die Gelegenheits-Gesellschaft nach den Entwürfen eines Handelsgesetzbuches für Japan",1,5
22553330,1890,Beiträge zur Anatomie der Coniferen,1,3
22553331,1890,Kritische Emendationen zu Kalilag und Damnag. I.,1,3
22553332,1890,Versuch eines Beweises gegen die Lösbarkeit philosophischer Probleme.,1,4
22553333,1890,Über die Konjunktionen bei Spenser,1,2
22553334,1890,Über den Lothringer Reimpsalter,1,1
22553337,1890,Herbarts Verhältnis zur englischen Associationspsychologie.,1,2
22553340,1890,Beiträge zur Kenntnis der Pyrogallussäure,1,3
22553344,1890,Über eine neue Erzeugungsart der Regelflächen zweiter Ordnung,1,2
