id,Gymnasium,domestic,n_study,technical
22554139,,,,
22554143,,,,
22554145,,,,
22554148,,,,
22554149,,,,
22554151,,,,
22554152,,,,
22554154,,,,
22554155,,,,
22554156,,,,
22554157,,,,
22554158,,,,
22554222,,,,
22554223,,,,
22554224,,,,
22554226,,,,
22554229,,,,
22554230,,,,
22554231,,,,
22554232,,,,
22554233,,,,
22554235,,,,
22554238,,,,
22554241,,,,
22554243,,,,
22554247,,,,
22554248,,,,
22554249,,,,
22554271,,,,
22554273,,,,
22554275,,,,
22554277,,,,
22554278,,,,
22554280,,,,
22554283,,,,
22554284,,,,
22554285,,,,
22554458,,,,
22554461,,,,
22840131,,,,
22840132,,,,
22840133,,,,
22840134,,,,
22840135,,,,
22840136,,,,
22840137,,,,
22840138,,,,
22840139,,,,
22840140,,,,
22840278,,,,
22840279,,,,
22840280,,,,
22840281,,,,
22840282,,,,
22840283,,,,
22840284,,,,
22840285,,,,
22840286,,,,
22840287,,,,
22840288,,,,
22840289,,,,
22840290,,,,
22840291,,,,
22840292,,,,
22840293,,,,
22840294,,,,
22840295,,,,
22840296,,,,
22840297,,,,
22840298,,,,
22840299,,,,
22840300,,,,
22840301,,,,
22840302,,,,
22840303,,,,
22840304,,,,
22840305,,,,
22840306,,,,
22840307,,,,
22840308,,,,
22840309,,,,
22840310,,,,
22840311,,,,
22840312,,,,
22840313,,,,
22840314,,,,
22840315,,,,
22840316,,,,
22840317,,,,
22840318,,,,
22840319,,,,
22840320,,,,
22840321,,,,
22840322,,,,
22840323,,,,
22840324,,,,
22840325,,,,
22840326,,,,
22840327,,,,
22840328,,,,
22840329,,,,
22840330,,,,
22840331,,,,
22840332,,,,
22840333,,,,
22840334,,,,
22840335,,,,
22840336,,,,
22840337,,,,
22840338,,,,
22840339,,,,
22840340,,,,
22840341,,,,
22840342,,,,
22840343,,,,
22840344,,,,
22840345,,,,
22840346,,,,
22840347,,,,
22840348,,,,
22840349,,,,
22840350,,,,
